PARK,AREA,CLUBNAME,LEAGUE,
IRISHTOWN ,SOUTH EAST,ST. PATRICKS C.Y.F.C.,LEINSTER SENIOR LEAGUE,
ST ANNES ,NORTH CENTRAL,PIONEERS F.C.,LEINSTER SENIOR LEAGUE,
ST ANNES ,NORTH CENTRAL,ST. JUDES F.C.,LEINSTER SENIOR LEAGUE,
STANNAWAY,SOUTH CENTRAL,IVEAGH  CELTIC,LEINSTER SENIOR LEAGUE,
STANNAWAY,SOUTH CENTRAL,MEATH RANGERS F.C.,LEINSTER SENIOR LEAGUE,
STANNAWAY ,SOUTH CENTRAL,DONORE F.C,LEINSTER SENIOR LEAGUE,
WALKINSTOWN,SOUTH CENTRAL,WALKINSTOWN UNITED,LEINSTER SENIOR LEAGUE,
DUNDANIEL,NORTHCENTRAL,KILMORE  LADIES F.C.,NORTH DUBLIN SCHOOL GIRLS LEAGUE,
OSCAR TRAYNOR,NORTH CENTRAL,KILMORE  LADIES F.C.,NORTH DUBLIN SCHOOL GIRLS LEAGUE,
ALBERT COLLEGE,NORTH WEST,DRUMCONDRA F.C (Schoolboys),NOTH DUBLIN SCHOOLBOYS LEAGUE,
ARDMORE,NORTH CENTRAL,ARTANE/BEAUMONT JUVENILES,NOTH DUBLIN SCHOOLBOYS LEAGUE,
ASHINGTON ,CENTRAL,NAVAN ROAD UNITED,NOTH DUBLIN SCHOOLBOYS LEAGUE,
BELCAMP,NORTH CENTRAL,ST. COLUMBANS  S/BOYS,NOTH DUBLIN SCHOOLBOYS LEAGUE,
BELCAMP,NORTH CENTRAL,PRIORSWOOD SCHOOL BOYS,NOTH DUBLIN SCHOOLBOYS LEAGUE,
BELCAMP ,NORTH CENTRAL,ST. FRANCIS MOATVIEW,NOTH DUBLIN SCHOOLBOYS LEAGUE,
CLONTURK ,NORTH WEST,DRUMCONDRA F.C (Schoolboys),NOTH DUBLIN SCHOOLBOYS LEAGUE,
DARNDALE ,NORTHCENTRAL,DARNDALE  F.C.,NOTH DUBLIN SCHOOLBOYS LEAGUE,
FAIRVIEW,NORTH CENTRAL,ST. JOSEPHS EASTWALL Y.C.F.C.,NOTH DUBLIN SCHOOLBOYS LEAGUE,
FAIRVIEW,NORTH CENTRAL,MARINO A.F.C.,NOTH DUBLIN SCHOOLBOYS LEAGUE,
GLIN ROAD,NORTH CENTRAL,ST. COLUMBANS  S/BOYS,NOTH DUBLIN SCHOOLBOYS LEAGUE,
GLIN ROAD,NORTH CENTRAL,PRIORSWOOD SCHOOL BOYS,NOTH DUBLIN SCHOOLBOYS LEAGUE,
JOHN PAUL,CENTRAL,NAVAN ROAD UNITED,NOTH DUBLIN SCHOOLBOYS LEAGUE,
MARINO,NORTH CENTRAL,MARINO A.F.C.,NOTH DUBLIN SCHOOLBOYS LEAGUE,
MELLOWES,NORTH WEST,NORTHWAY MELLOWES F.C,NOTH DUBLIN SCHOOLBOYS LEAGUE,
NORTHWAY,NORTH WEST,NORTHWAY MELLOWES F.C,NOTH DUBLIN SCHOOLBOYS LEAGUE,
OSCAR TRAYNOR,NORTH CENTRAL,WOODLAWN F.C.(JUV),NOTH DUBLIN SCHOOLBOYS LEAGUE,
ROCKFIELD ,NORTH CENTRAL,ARTANE/BEAUMONT JUVENILES,NOTH DUBLIN SCHOOLBOYS LEAGUE,
ST ANNES,NORTH CENTRAL,MARINO A.F.C.,NOTH DUBLIN SCHOOLBOYS LEAGUE,
POPPINTREE ,NORTH WEST,WILLOWS F.C.,"NOTH DUBLIN SCHOOLBOYS LEAGUE,AMATEUR FOOTBALL LEAGUE",
GREENDALE,NORTH CENTRAL,KILBARRACK UNITED F.C.,"NOTH DUBLIN SCHOOLBOYS LEAGUE,ATHLETIC UNION LEAGUE LEAGUE",
ROSEGLEN ,NORTH CENTRAL,KILBARRACK UNITED F.C.,"NOTH DUBLIN SCHOOLBOYS LEAGUE,ATHLETIC UNION LEAGUE LEAGUE",
EDENMORE,NORTH CENTRAL,GRANGE WOODBINE F.C.,"NOTH DUBLIN SCHOOLBOYS LEAGUE,ATHLETIC UNION LEAGUE LEAGUE",
WOODBINE AVE,NORTH CENTRAL,GRANGE WOODBINE F.C.,"NOTH DUBLIN SCHOOLBOYS LEAGUE,ATHLETIC UNION LEAGUE LEAGUE",
ST ANNES ,NORTH CENTRAL,CLONTARF F.C.,"NORTH DUBLIN SCHOOLBOYS LEAGUE,DUBLIN DISTRICT SCHOOLBOYS LEAGUE",
FR. COLLINS,NORTH CENTRAL,MID SUTTON F.C,"NORTH DUBLIN SCHOOLBOYS LEAGUE,LEINSTER SENIOR LEAGUE",
ST ANNES,NORTH CENTRAL,MID SUTTON F.C,"NORTH DUBLIN SCHOOLBOYS LEAGUE,LEINSTER SENIOR LEAGUE",
BALCURRIS PARK,NORTH WEST,UNIDARE RFC,RUGBY,
DARTRY ,SOUTH EAST,BEECHWOOD F.C,SOUTH DUBLIN FOOTBALL LEAGUE,
HERBERT,SOUTH EAST,BEECHWOOD F.C,SOUTH DUBLIN FOOTBALL LEAGUE,
HERBERT ,SOUTH EAST,BELMONT F.C,SOUTH DUBLIN FOOTBALL LEAGUE,
LE FANU,SOUTH CENTRAL,AFC BELGRAVE,SOUTH DUBLIN FOOTBALL LEAGUE,
STANNAWAY ,SOUTH CENTRAL,JAMES UTD.,SOUTH DUBLIN FOOTBALL LEAGUE,
CHERRY ORCHARD ,SOUTH CENTRAL,ORCHARD CELTIC,"SOUTH DUBLIN FOOTBALL LEAGUE,ATHLETIC UNION LEAGUE",
BEECHILL,SOUTH EAST,DONNYBROOK  F.C.,SOUTH DUBLIN FOOTBALL LEAGUE,
HERBERT ,SOUTH EAST,DONNYBROOK  F.C.,SOUTH DUBLIN FOOTBALL LEAGUE,
ALBERT COLLEGE ,NORTH WEST,GLASNAION F.C,UNITED CHURCHES FOOTBALL LEAGUE,
BRICKFIELDS,SOUTH CENTRAL,K.C.R UTD.,UNITED CHURCHES FOOTBALL LEAGUE,
BRICKFIELDS,SOUTH CENTRAL,BOOTERSTOWN UNITED F.C.,UNITED CHURCHES FOOTBALL LEAGUE,
BRICKFIELDS,SOUTH CENTRAL,RIVERSIDE UNITED,UNITED CHURCHES FOOTBALL LEAGUE,
BRICKFIELDS ,SOUTH CENTRAL,LOWER CRUMLIN F.C.,UNITED CHURCHES FOOTBALL LEAGUE,
BUSHY,SOUTH CENTRAL,TERENURE COLLEGE AFC,UNITED CHURCHES FOOTBALL LEAGUE,
BUSHY ,SOUTH CENTRAL,SANDFORD ATHLETIC,UNITED CHURCHES FOOTBALL LEAGUE,
FARNHAM,NORTH WEST,FRANCIS A.F.C.,UNITED CHURCHES FOOTBALL LEAGUE,
FR. COLLINS,NORTH CENTRAL,SCHALKE ROVERS,UNITED CHURCHES FOOTBALL LEAGUE,
